# 전체 ETF: 1072개 / 국내주식형: 763개
# 매칭: 702개 / 미매칭: 61개

== 국내 주식형 ETF ==
[OK] 276970	KODEX 미국S&P500배당귀족커버드콜(합성 H)
[OK] 0093D0	KoAct 팔란티어밸류체인액티브
[OK] 419430	KODEX 차이나2차전지MSCI(합성)
[OK] 0155M0	ACE 미국SMR원자력TOP10
[OK] 495940	RISE 미국AI테크액티브
[OK] 261060	TIGER 코스닥150IT
[OK] 0104P0	TIGER 코리아배당다우존스위클리커버드콜
[OK] 385590	ACE ESG액티브
[OK] 414270	ACE 글로벌자율주행액티브
[MISS] 261140	TIGER 우선주
[OK] 195930	TIGER 유로스탁스50(합성 H)
[OK] 479620	SOL 미국AI반도체칩메이커
[OK] 238720	ACE 일본Nikkei225(H)
[OK] 0144M0	KODEX 미국드론UAM TOP10
[OK] 388280	RISE K엔터&여행레저
[OK] 475070	KoAct 글로벌친환경전력인프라액티브
[OK] 140950	파워 코스피100
[OK] 0137V0	KIWOOM 미국S&P500모멘텀
[OK] 280930	KODEX 미국러셀2000(H)
[OK] 0047R0	RISE 팔란티어고정테크100
[OK] 418670	TIGER 글로벌AI사이버보안
[OK] 256440	ACE MSCI인도네시아(합성)
[OK] 368190	HANARO Fn K-뉴딜디지털플러스
[OK] 300950	KODEX 게임산업
[OK] 449780	KIWOOM 미국S&P500(H)
[OK] 117460	KODEX 에너지화학
[OK] 475380	RISE 글로벌리얼티인컴
[OK] 487130	KoAct AI인프라액티브
[MISS] 442260	마이티 다이나믹퀀트액티브
[OK] 227540	TIGER 200 헬스케어
[OK] 352560	KODEX 미국부동산리츠(H)
[OK] 493420	SOL 미국배당다우존스2호
[OK] 0112X0	마이티 200TR
[OK] 360140	KODEX 200롱코스닥150숏선물
[OK] 0065G0	KODEX 차이나테크TOP10
[OK] 248270	TIGER S&P글로벌헬스케어(합성)
[OK] 385520	KODEX 자율주행액티브
[MISS] 275300	KODEX 우량주
[OK] 459750	RISE 글로벌주식분산액티브
[OK] 0023B0	PLUS 미국양자컴퓨팅TOP10
[OK] 287180	PLUS 미국나스닥테크
[OK] 461450	KODEX 코스닥글로벌
[OK] 0141S0	SOL 조선기자재
[OK] 0084E0	KIWOOM 미국대형주500월간목표헤지액티브
[OK] 477730	KODEX 인도타타그룹
[OK] 305050	ACE 코스피
[OK] 491090	KODEX 미국테크TOP3플러스
[OK] 473490	KIWOOM 글로벌AI반도체
[OK] 156080	KODEX MSCI Korea
[OK] 0138T0	RISE 미국S&P500데일리고정커버드콜
[OK] 459560	KODEX 테슬라밸류체인FactSet
[OK] 245350	TIGER 유로스탁스배당30
[OK] 494410	PLUS 미국S&P500성장주
[OK] 0162L0	KODEX 차이나AI반도체TOP10
[OK] 117680	KODEX 철강
[OK] 139250	TIGER 200 에너지화학
[OK] 0107F0	KIWOOM 미국고배당&AI테크
[OK] 147970	TIGER 모멘텀
[OK] 304770	HANARO 코스닥150
[OK] 360150	KODEX 코스닥150롱코스피200숏선물
[OK] 0150K0	KoAct 수소전력ESS인프라액티브
[OK] 0097L0	KIWOOM 한국고배당&미국AI테크
[OK] 276650	RISE 글로벌테크놀로지(합성 H)
[OK] 138230	KIWOOM 미국달러선물
[OK] 0094M0	RISE 코리아밸류업위클리고정커버드콜
[OK] 0137W0	KIWOOM 미국S&P500&GOLD
[OK] 474800	KIWOOM 미국원유에너지기업
[MISS] 105780	RISE 5대그룹주
[OK] 0088N0	WON K-글로벌수급상위
[OK] 449690	TIGER 한중반도체(합성)
[MISS] 100910	KIWOOM KRX100
[MISS] 0103T0	1Q K소버린AI
[OK] 476260	HANARO 반도체핵심공정주도주
[OK] 300640	RISE 게임테마
[OK] 483420	ACE 애플밸류체인액티브
[OK] 415760	SOL 차이나육성산업액티브(합성)
[OK] 387270	TIGER 글로벌이노베이션액티브
[OK] 269420	KODEX S&P글로벌인프라(합성)
[OK] 459790	KIWOOM 미국성장기업30액티브
[OK] 0153X0	PLUS 미국고배당주액티브
[MISS] 271060	KODEX 3대농산물선물(H)
[OK] 491830	TIGER 미국AI반도체팹리스
[OK] 415340	KODEX 차이나과창판STAR50(합성)
[OK] 483240	TIGER 미국나스닥100ETF선물
[OK] 460660	RISE 미국S&P배당킹
[OK] 0036D0	TIME 미국배당다우존스액티브
[OK] 284980	RISE 200금융
[OK] 192720	파워 고배당저변동성
[OK] 195970	PLUS 선진국MSCI(합성 H)
[MISS] 445690	BNK 주주가치액티브
[OK] 472840	ITF 200
[OK] 483570	KCGI 미국S&P500 TOP10
[OK] 223190	KODEX 200가치저변동
[OK] 153270	KIWOOM 코스피100
[OK] 169950	KODEX 차이나A50
[OK] 497780	KoAct 미국천연가스인프라액티브
[OK] 226980	KODEX 200 중소형
[OK] 463300	RISE 중국본토CSI300
[OK] 145850	TREX 펀더멘탈 200
[OK] 252000	TIGER 200동일가중
[OK] 091220	TIGER 은행
[OK] 465660	TIGER 일본반도체FACTSET
[OK] 396510	TIGER 차이나클린에너지SOLACTIVE
[OK] 289480	TIGER 200커버드콜
[OK] 0067Y0	TIGER 차이나AI소프트웨어
[OK] 450190	KODEX 한중반도체(합성)
[OK] 275280	KODEX 모멘텀주
[OK] 277540	ACE 아시아TOP50
[OK] 407310	HANARO 200 TOP10
[MISS] 442090	에셋플러스 코리아대장장이액티브
[MISS] 275290	KODEX 가치주
[OK] 219390	RISE 미국S&P원유생산기업(합성 H)
[OK] 138530	TIGER LG그룹플러스
[OK] 371150	RISE 차이나항셍테크
[OK] 185680	KODEX 미국S&P바이오(합성)
[OK] 446690	KODEX 아시아AI반도체exChina액티브
[OK] 0047P0	RISE 테슬라고정테크100
[OK] 464920	PLUS 일본반도체소부장
[OK] 371450	TIGER 글로벌클라우드컴퓨팅INDXX
[OK] 0013P0	RISE 미국은행TOP10
[MISS] 391670	HK 베스트일레븐액티브
[OK] 411540	SOL 200 Top10
[OK] 433220	에셋플러스 글로벌대장장이액티브
[OK] 385600	ACE 2차전지&친환경차액티브
[OK] 469050	RISE 미국반도체NYSE(H)
[OK] 0051A0	KoAct 브로드컴밸류체인액티브
[MISS] 438900	HANARO Fn K-푸드
[OK] 417630	TIGER KEDI혁신기업ESG30
[OK] 292500	SOL KRX300
[OK] 419650	PLUS 글로벌수소&차세대연료전지
[OK] 496120	ACE 코리아밸류업
[OK] 376410	TIGER 탄소효율그린뉴딜
[OK] 387280	TIGER 퓨처모빌리티액티브
[OK] 102960	KODEX 기계장비
[OK] 213630	PLUS 미국다우존스고배당주(합성 H)
[OK] 0115C0	RISE 미국고배당다우존스TOP10
[MISS] 491510	파워 K-주주가치액티브
[MISS] 469790	KIWOOM K-테크TOP10
[OK] 404260	KODEX 기후변화솔루션
[OK] 292160	TIGER KRX300
[OK] 0028X0	KODEX 미국금융테크액티브
[OK] 477490	에셋플러스 글로벌일등기업포커스10액티브
[OK] 159800	마이티 코스피100
[OK] 453630	KODEX 미국S&P500필수소비재
[MISS] 364690	KODEX 혁신기술테마액티브
[OK] 276000	TIGER 글로벌자원생산기업(합성 H)
[OK] 494420	PLUS 미국배당증가성장주데일리커버드콜
[OK] 291130	ACE MSCI멕시코(합성)
[OK] 400570	KODEX 유럽탄소배출권선물ICE(H)
[OK] 140710	KODEX 운송
[OK] 0008E0	ACE 미국중심중소형제조업
[OK] 250730	RISE 차이나HSCEI(H)
[OK] 445910	TIGER MKF배당귀족
[OK] 461900	PLUS 미국테크TOP10
[OK] 498050	HANARO 바이오코리아액티브
[OK] 289040	KODEX MSCI KOREA ESG유니버설
[OK] 407820	에셋플러스 코리아플랫폼액티브
[OK] 375760	HANARO 탄소효율그린뉴딜
[MISS] 337120	KODEX 멀티팩터
[OK] 354350	HANARO 글로벌럭셔리S&P(합성)
[OK] 337150	KODEX 200exTOP
[OK] 0094X0	1Q 샤오미밸류체인액티브
[OK] 108590	TREX 200
[OK] 463640	KODEX 미국S&P500유틸리티
[OK] 265690	ACE 러시아MSCI(합성)
[OK] 0000H0	KODEX 인도Nifty미드캡100
[OK] 195920	TIGER 일본TOPIX(합성 H)
[OK] 0113G0	KoAct 미국바이오헬스케어액티브
[OK] 289250	TIGER MSCI KOREA ESG유니버설
[OK] 289260	TIGER MSCI KOREA ESG리더스
[OK] 0018Z0	RISE 미국양자컴퓨팅
[OK] 494180	TIME 글로벌소비트렌드액티브
[OK] 432840	HANARO 미국S&P500
[OK] 0133E0	TIGER 차이나증권
[OK] 474920	에셋플러스 차이나일등기업포커스10액티브
