ticker,market_type,corp_name,corp_code
A183490,KOSDAQ,(주)엔지켐생명과학,1601110084890
A004490,KOSPI,세방전지(주),1101110202765
A163280,KOSDAQ,㈜에어레인,1101112183963
A196170,KOSDAQ,(주)알테오젠,1601110242050
A108320,KOSPI,(주)엘엑스세미콘,1601110089395
A091810,KOSPI,(주)티웨이항공,1101112782046
A418470,KOSDAQ,(주)케이티밀리의서재,1101116114451
A033780,KOSPI,(주)케이티앤지,1601110067804
A007280,KOSPI,(주)한국특강,1801110015362
A168360,KOSDAQ,(주)펨트론,1101112422379
A006360,KOSPI,지에스건설(주),1101110002694
A004440,KOSPI,(주)삼일씨엔에스,1101110061228
A473980,KOSDAQ,(주)노머스,1101117042247
A012280,KOSPI,영화금속(주),1801110027078
A214450,KOSDAQ,(주)파마리서치,1101112183749
A328130,KOSDAQ,주식회사 루닛,1601110354045
A108860,KOSDAQ,(주)셀바스에이아이,1101111673816
A058650,KOSPI,(주)세아홀딩스,1101112276809
A033920,KOSPI,(주)무학,1901110002721
A014680,KOSPI,(주)한솔케미칼,1101110270895
A161580,KOSDAQ,주식회사 필옵틱스,1351110088083
A071970,KOSPI,에이치디현대마린엔진(주),1942110048381
A006890,KOSPI,태경케미컬 주식회사,1101110040793
A211270,KOSDAQ,에이피위성(주),1101114531045
A002760,KOSPI,(주)보락,1348110004474
A347850,KOSDAQ,(주)디앤디파마텍,1101115575662
A001620,KOSPI,케이비아이동국실업(주),1101110028939
A023000,KOSPI,(주)삼원강재,1746110014924
A340450,KOSDAQ,(주)지씨지놈,1345110215100
A417200,KOSDAQ,엘에스머트리얼즈 주식회사,1341110570437
A133820,KOSPI,(주)화인베스틸,1951110010951
A251970,KOSDAQ,펌텍코리아 주식회사,1211110088451
A004270,KOSPI,(주)남성,1101110054760
A317400,KOSPI,자이에스앤디(주),1101111934557
A010120,KOSPI,엘에스일렉트릭 주식회사,1101110520076
A011090,KOSPI,(주)에넥스,1101110192635
A394800,KOSDAQ,(주)쓰리빌리언,1101116196756
A095570,KOSPI,AJ네트웍스 주식회사,1101111874654
A003120,KOSPI,일성아이에스(주),1101110039019
A003200,KOSPI,일신방직(주),1101110041717
A006400,KOSPI,삼성SDI(주),1101110394174
A068270,KOSPI,(주)셀트리온,1350110034038
A432320,KOSPI,(주)케이비스타위탁관리부동산투자회사,1101118191613
A248170,KOSPI,샘표식품(주),1101116110045
A017550,KOSPI,(주)수산세보틱스,1348110002981
A336370,KOSPI,솔루스첨단소재 주식회사,2149110058927
A049950,KOSDAQ,(주)미래컴퍼니,1101110911192
A033100,KOSDAQ,제룡전기(주),1101110513633
A034830,KOSPI,(주)한국토지신탁,1101111258220
A293780,KOSDAQ,압타바이오(주),1358110168906
A058820,KOSDAQ,(주)CMG제약,1350110115846
A003230,KOSPI,삼양식품(주),1101110034308
A241590,KOSPI,주식회사 화승엔터프라이즈,1101115891943
A013520,KOSPI,(주)화승코퍼레이션,1845110001252
A134790,KOSPI,(주)시디즈,1101114493344
A011330,KOSPI,(주)유니켐,1301110011807
A201490,KOSDAQ,(주)미투온,1101114358382
