crno,sic_name,enp_rpr_fnm,address,homepage,enp_main_biz_name,corp_name
1801110000230,,"임우근,임준호(각자대표)",부산광역시 영도구  태종로 63,www.hsep.com,,한성기업
1101110393308,,박성희,"서울특별시 중구 통일로 92 케이지타워 서울 중구 순화동 1-170, 케이지타워, 5층",kg-steel.co.kr,,KG스틸
1311110729441,,김해중,경기도 성남시 분당구 판교로 332,www.sketernix.com,,SK이터닉스
1101110100951,,김학수,서울시 강남구 삼성로648 삼성동,www.miraeing.co.kr,,미래아이앤지
1101110003684,,박윤기,서울특별시 서초구 서초대로70길 15,company.lottechilsung.co.kr,,롯데칠성음료
1101110165393,,강동엽,서울특별시 강남구 테헤란로2길 8 4층 13호,www.daewon21.co.kr,,대원화성
1101110006349,,김태균,"인천광역시 연수구 컨벤시아대로 69 (송도동 , 송도밀레니엄 807호)",www.chinhung.co.kr,,진흥기업
1101111906887,,송재민,"서울특별시 영등포구 당산로41길 11, SK V1센터 E동 5층",www.emro.co.kr,,엠로
1101110166903,,"양준영, 박승구, 이찬수(각자대표이사)",서울특별시 마포구  마포대로 137  KPX빌딩,www.kpxchemical.com,,KPX케미칼
1101112922478,,박광훈,"서울특별시 영등포구 선유로 70, 509호(문래동 3가, 우리벤처타운2)",walkbot.co.kr,,피앤에스로보틱스
1101110113384,,김 성 식,"서울특별시 중구  퇴계로 307 광희동 1가, 광희빌딩",www.byucksan.com,,벽산
1101112691651,,김남구,서울특별시 영등포구  의사당대로 88,www.koreaholdings.com,,한국금융지주
1101110014409,,대표이사 조욱제,서울특별시 동작구  노량진로 74,www.yuhan.co.kr,,유한양행
1101110011679,,"김미섭, 허선호",서울특별시 중구 을지로5길 26 미래에셋 센터원빌딩 이스트타워,securities.miraeasset.com,,미래에셋증권
1101112686024,,엄정근,충청남도 당진시 송악읍 부곡공단4길 28-252,www.histeel.co.kr,,하이스틸
1615110001613,,"한봉섭,정보윤(각자대표)",충청남도 천안시 서북구 천일고3길 47,www.soosanind.co.kr,,수산인더스트리
1243110008999,,"곽정현, 김재익",울산광역시 울주군 온산읍 당월로 322,www.kgchem.co.kr,,KG케미칼
1101117232799,,"김종원, 김정현",대전광역시 유성구 테크노8로 64 (용산동),없음,,원텍
1201110018251,,홍동환,충청북도 충주시 충주호수로 36 (목행동) 코스모신소재 주식회사,www.cosmoamt.com,,코스모신소재
1101110035893,,이석현,서울 종로구 세종로 현대해상화재보험빌딩,www.hi.co.kr,,현대해상
1345110004412,,현기진,경기도 용인시 처인구 포곡읍 금어로 405 엠케이전자,www.mke.co.kr,,엠케이전자
1101110048987,,엄정헌,서울특별시 중구  퇴계로27길 28 (한영빌딩 9층),www.hanilsteel.co.kr,,한일철강
1201110720228,,이돈행,인천광역시 연수구 벤처로100번길 6,www.nextbiomedical.co.kr,,넥스트바이오메디컬
1101110531578,,김민덕,서울특별시 강남구  도산대로 523 한섬빌딩,www.handsome.co.kr,,한섬
1101110139017,,김종현,서울특별시 용산구  이태원로 222 제일기획,www.cheil.co.kr,,제일기획
2301110312741,,"이상균, 노진율 (각자 대표이사)",울산광역시 동구 방어진순환도로 1000,www.hhi.co.kr,,HD현대중공업
1101110021678,,"고은희, 손병국",서울특별시 서대문구  연희로 142,www.dlt.co.kr,,대림통상
1101114357110,,김민석,서울특별시 서초구 명달로 94,www.pinkfongcompany.com,,더핑크퐁컴퍼니
1101111698145,,이재석,서울특별시 동작구 보라매로5길 15,www.cafe24.com,,카페24
1101116420361,,"성석제, 한상철 (공동대표)",서울특별시 서초구 사평대로 343 제일약품 사옥,www.jeilpharm.co.kr,,제일약품
1647110001591,,윤상현,세종특별자치시  전의면 덕고개길 12-11,www.kolmarholdings.co.kr,,콜마홀딩스
1301110007765,,임재황,충청북도 충주시 주덕읍 대창길 70 -,www.bosungpower.co.kr,,보성파워텍
